CID;Tipo;BTS Name;Direccion;Latitud;Gra;Min;Seg;Longitud;Gra;Min;Seg;Altura;Vector;Tilt;Region
241;GSM;BOG.Suba-1_1;Carrera 109 No. 143 - 27;4,747580000;4;44;51,29;-74,099080000;-74;5;56,69;34;30;5;Oriente
242;GSM;BOG.Suba-1_2;Carrera 109 No. 143 - 27;4,747580000;4;44;51,29;-74,099080000;-74;5;56,69;32;157;5;Oriente
243;GSM;BOG.Suba-1_3;Carrera 109 No. 143 - 27;4,747580000;4;44;51,29;-74,099080000;-74;5;56,69;34;280;5;Oriente
244;GSM;BOG.Suba-1_A;Carrera 109 No. 143 - 27;4,747580000;4;44;51,29;-74,099080000;-74;5;56,69;34;30;2;Oriente
245;GSM;BOG.Suba-1_B;Carrera 109 No. 143 - 27;4,747580000;4;44;51,29;-74,099080000;-74;5;56,69;32;157;2;Oriente
246;GSM;BOG.Suba-1_C;Carrera 109 No. 143 - 27;4,747580000;4;44;51,29;-74,099080000;-74;5;56,69;34;280;2;Oriente
251;GSM;BOG.Chico Reservado_1;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;27;0;7;Oriente
252;GSM;BOG.Chico Reservado_2;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;24;80;7;Oriente
253;GSM;BOG.Chico Reservado_3;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;24;160;5;Oriente
254;GSM;BOG.Chico Reservado_4;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;33;210;5;Oriente
255;GSM;BOG.Chico Reservado_B;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;27;80;7;Oriente
256;GSM;BOG.Chico Reservado_C;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;24;160;5;Oriente
257;GSM;BOG.Chico Reservado_D;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;24;210;4;Oriente
258;GSM;BOG.Chico Reservado_A;Carrera 9 No. 96 - 50;4,678990000;4;40;44,36;-74,041850000;-74;2;30,66;27;0;5;Oriente
261;GSM;BOG.Nueva Autopista_1;Transversal 32 No. 134A-49;4,720050000;4;43;12,18;-74,048800000;-74;2;55,68;16;15;5;Oriente
262;GSM;BOG.Nueva Autopista_2;Transversal 32 No. 134A-49;4,720050000;4;43;12,18;-74,048800000;-74;2;55,68;16;130;5;Oriente
263;GSM;BOG.Nueva Autopista_3;Transversal 32 No. 134A-49;4,720050000;4;43;12,18;-74,048800000;-74;2;55,68;16;210;5;Oriente
264;GSM;BOG.Nueva Autopista_A;Transversal 32 No. 134A-49;4,720050000;4;43;12,18;-74,048800000;-74;2;55,68;16;15;2;Oriente
265;GSM;BOG.Nueva Autopista_B;Transversal 32 No. 134A-49;4,720050000;4;43;12,18;-74,048800000;-74;2;55,68;16;130;2;Oriente
266;GSM;BOG.Nueva Autopista_C;Transversal 32 No. 134A-49;4,720050000;4;43;12,18;-74,048800000;-74;2;55,68;16;210;2;Oriente
271;GSM;BOG.Andino-1_1;Calle 81 No. 11 - 68 Centro Ejecutivo;4,665640000;4;39;56,30;-74,053800000;-74;3;13,68;21;15;9;Oriente
272;GSM;BOG.Andino-1_2;Calle 81 No. 11 - 68 Centro Ejecutivo;4,665640000;4;39;56,30;-74,053800000;-74;3;13,68;21;130;7;Oriente
273;GSM;BOG.Andino-1_3;Calle 81 No. 11 - 68 Centro Ejecutivo;4,665640000;4;39;56,30;-74,053800000;-74;3;13,68;21;260;7;Oriente
274;GSM;BOG.Andino-1_A;Calle 81 No. 11 - 68 Centro Ejecutivo;4,665640000;4;39;56,30;-74,053800000;-74;3;13,68;21;15;6;Oriente
275;GSM;BOG.Andino-1_B;Calle 81 No. 11 - 68 Centro Ejecutivo;4,665640000;4;39;56,30;-74,053800000;-74;3;13,68;21;130;5;Oriente
276;GSM;BOG.Andino-1_C;Calle 81 No. 11 - 68 Centro Ejecutivo;4,665640000;4;39;56,30;-74,053800000;-74;3;13,68;21;260;5;Oriente
281;GSM;BOG.Granahorrar-1_1;Carrera 9 No. 72 - 81;4,657040000;4;39;25,34;-74,056790000;-74;3;24,44;27;55;5;Oriente
282;GSM;BOG.Granahorrar-1_2;Carrera 9 No. 72 - 81;4,657040000;4;39;25,34;-74,056790000;-74;3;24,44;31;120;5;Oriente
283;GSM;BOG.Granahorrar-1_3;Carrera 9 No. 72 - 81;4,657040000;4;39;25,34;-74,056790000;-74;3;24,44;28;285;5;Oriente
284;GSM;BOG.Granahorrar-1_A;Carrera 9 No. 72 - 81;4,657040000;4;39;25,34;-74,056790000;-74;3;24,44;27;55;5;Oriente
285;GSM;BOG.Granahorrar-1_B;Carrera 9 No. 72 - 81;4,657040000;4;39;25,34;-74,056790000;-74;3;24,44;27;120;5;Oriente
286;GSM;BOG.Granahorrar-1_C;Carrera 9 No. 72 - 81;4,657040000;4;39;25,34;-74,056790000;-74;3;24,44;28;285;5;Oriente
291;GSM;BOG.Puente Largo_1;Calle 106A No. 40 - 21;4,695310000;4;41;43,12;-74,063700000;-74;3;49,32;30;30;7;Oriente
292;GSM;BOG.Puente Largo_2;Calle 106A No. 40 - 21;4,695310000;4;41;43,12;-74,063700000;-74;3;49,32;27;110;8;Oriente
293;GSM;BOG.Puente Largo_3;Calle 106A No. 40 - 21;4,695310000;4;41;43,12;-74,063700000;-74;3;49,32;27;240;7;Oriente
294;GSM;BOG.Puente Largo_A;Calle 106A No. 40 - 21;4,695310000;4;41;43,12;-74,063700000;-74;3;49,32;27;30;5;Oriente
295;GSM;BOG.Puente Largo_B;Calle 106A No. 40 - 21;4,695310000;4;41;43,12;-74,063700000;-74;3;49,32;27;110;6;Oriente
296;GSM;BOG.Puente Largo_C;Calle 106A No. 40 - 21;4,695310000;4;41;43,12;-74,063700000;-74;3;49,32;27;240;5;Oriente
301;GSM;BOG.Usaquen-1_1;Calle 121 No. 9 - 37;4,698220000;4;41;53,59;-74,032500000;-74;1;57,00;20;355;4;Oriente
302;GSM;BOG.Usaquen-1_2;Calle 121 No. 9 - 37;4,698220000;4;41;53,59;-74,032500000;-74;1;57,00;20;110;3;Oriente
303;GSM;BOG.Usaquen-1_3;Calle 121 No. 9 - 37;4,698220000;4;41;53,59;-74,032500000;-74;1;57,00;19;200;4;Oriente
